ds,y
12/31/99,1469.25
12/30/99,1464.469971
12/29/99,1463.459961
12/28/99,1457.660034
12/27/99,1457.099976
12/23/99,1458.339966
12/22/99,1436.130005
12/21/99,1433.430054
12/20/99,1418.089966
12/17/99,1421.030029
12/16/99,1418.780029
12/15/99,1413.329956
12/14/99,1403.170044
12/13/99,1415.219971
12/10/99,1417.040039
12/9/99,1408.109985
12/8/99,1403.880005
12/7/99,1409.170044
12/6/99,1423.329956
12/3/99,1433.300049
12/2/99,1409.040039
12/1/99,1397.719971
11/30/99,1388.910034
11/29/99,1407.829956
11/26/99,1416.619995
11/24/99,1417.079956
11/23/99,1404.640015
11/22/99,1420.939941
11/19/99,1422
11/18/99,1424.939941
11/17/99,1410.709961
11/16/99,1420.069946
11/15/99,1394.390015
11/12/99,1396.060059
11/11/99,1381.459961
11/10/99,1373.459961
11/9/99,1365.280029
11/8/99,1377.01001
11/5/99,1370.22998
11/4/99,1362.640015
11/3/99,1354.930054
11/2/99,1347.73999
11/1/99,1354.119995
10/29/99,1362.930054
10/28/99,1342.439941
10/27/99,1296.709961
10/26/99,1281.910034
10/25/99,1293.630005
10/22/99,1301.650024
10/21/99,1283.609985
10/20/99,1289.430054
10/19/99,1261.319946
10/18/99,1254.130005
10/15/99,1247.410034
10/14/99,1283.420044
10/13/99,1285.550049
10/12/99,1313.040039
10/11/99,1335.209961
10/8/99,1336.02002
10/7/99,1317.640015
10/6/99,1325.400024
10/5/99,1301.349976
10/4/99,1304.599976
10/1/99,1282.810059
9/30/99,1282.709961
9/29/99,1268.369995
9/28/99,1282.199951
9/27/99,1283.310059
9/24/99,1277.359985
9/23/99,1280.410034
9/22/99,1310.51001
9/21/99,1307.579956
9/20/99,1335.530029
9/17/99,1335.420044
9/16/99,1318.47998
9/15/99,1317.969971
9/14/99,1336.290039
9/13/99,1344.130005
9/10/99,1351.660034
9/9/99,1347.660034
9/8/99,1344.150024
9/7/99,1350.449951
9/3/99,1357.23999
9/2/99,1319.109985
9/1/99,1331.069946
8/31/99,1320.410034
8/30/99,1324.02002
8/27/99,1348.27002
8/26/99,1362.01001
8/25/99,1381.790039
8/24/99,1363.5
8/23/99,1360.219971
8/20/99,1336.609985
8/19/99,1323.589966
8/18/99,1332.839966
8/17/99,1344.160034
8/16/99,1330.77002
8/13/99,1327.680054
8/12/99,1298.160034
8/11/99,1301.930054
8/10/99,1281.430054
8/9/99,1297.800049
8/6/99,1300.290039
8/5/99,1313.709961
8/4/99,1305.329956
8/3/99,1322.180054
8/2/99,1328.050049
7/30/99,1328.719971
7/29/99,1341.030029
7/28/99,1365.400024
7/27/99,1362.839966
7/26/99,1347.76001
7/23/99,1356.939941
7/22/99,1360.969971
7/21/99,1379.290039
7/20/99,1377.099976
7/19/99,1407.650024
7/16/99,1418.780029
7/15/99,1409.619995
7/14/99,1398.170044
7/13/99,1393.560059
7/12/99,1399.099976
7/9/99,1403.280029
7/8/99,1394.420044
7/7/99,1395.859985
7/6/99,1388.119995
7/2/99,1391.219971
7/1/99,1380.959961
6/30/99,1372.709961
6/29/99,1351.449951
6/28/99,1331.349976
6/25/99,1315.310059
6/24/99,1315.780029
6/23/99,1333.060059
6/22/99,1335.880005
6/21/99,1349
6/18/99,1342.839966
6/17/99,1339.900024
6/16/99,1330.410034
6/15/99,1301.160034
6/14/99,1294
6/11/99,1293.640015
